publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Klēsis		1954-3050	2006						http://www.revue-klesis.org/		19543050		fulltext		Klēsis	serial								F	118354582
Mağallaẗ al-iqtiṣād wa al-tanmiyaẗ al-mustadāmaẗ (En ligne. Al-wādī)	2661-7986	2773-2606	2020						https://www.asjp.cerist.dz/en/PresentationRevue/598		27732606		fulltext		ğāmiՙaẗ al-šahīd ḥamaẗ laẖḍar Al-wādī	serial								F	252963865
Língua lugar		2673-5091	2020						http://oap.unige.ch/journals/lingua-lugar/issue/archive		26735091		fulltext		Université de Genève, Unité de Portugais, Revista Língua-lugar: Literatura, História, Estudos Culturais	serial								F	248314432
LLT journal (Online)	1410-7201	2579-9533	1998						http://e-journal.usd.ac.id/index.php/LLT/index		25799533		fulltext		Universitas Sanata Dharma Yogyakarta	serial								F	20182440X
LabD - journal of sports sciences		2795-4161	2021						https://www.iscedouro.pt/pt/investigar/isce-douro-labd/archives		27954161		fulltext		ISCE Douro	serial								F	262012804
Knowtex blog		2492-4490	2009						http://www.knowtex.com/blog/		24924490		fulltext		[Knowtex blog]	serial								F	204643759
Krishi Navachar		3048-6092	2024						https://krishinavachar.in/article		30486092		fulltext		Krishi Navachar	serial								F	289315697
Link (Forth Worth, Tex.)		3070-376X	2010			2017			https://amtetxdotorg.wpcomstaging.com/online-journal-2/		3070376X		fulltext		Association of Mathematics Teacher Educators in Texas	serial								F	295626895
Maǧallaẗ ǧāmi'aẗ al-Naǧāḥ li-l-abḥāṭ. Al-ʿulūm al-insāniyyaẗ (Online)	1727-8449	2311-8962							https://journals.najah.edu/journal/anujr-b/browse-by-issue/		23118962		fulltext		Ǧāmiʿaẗ al-Naǧāḥ al-waṭaniyyaẗ	serial								F	177500387
Kochi Gakuen Daigaku, Kochi Gakuen Tanki Daigaku kiyo (Online)	2436-3979	2760-5655	2021						https://kochi-gu.repo.nii.ac.jp/search?search_type=2&q=10		27605655		fulltext		Kochi gakuen tanki daigaku = Kochi Gakuen College	serial								F	
Lähivõrdlusi (Online)	1736-9290	2228-3854	1985						http://dx.doi.org/10.5128/LV.1736-9290		22283854		fulltext		Eesti Rakenduslingvistika Ühing	serial								F	168246287
Leibniz international proceedings in informatics		1868-8969	2008						http://drops.dagstuhl.de/lipics		18688969		fulltext		Schloss Dagstuhl, Leibniz-Zentrum für Informatik	serial								F	136373534
Lumen Proceedings (Online)	2601-2510	2601-2529	2017						http://lumenpublishing.com/proceedings/published-volumes/lumen-proceedings/rsacvp2017/		26012529		fulltext		Lumen	serial								F	22360044X
Mağallaẗ Karbalāʾ li-l-ʿulūm al-zirāʿiyyaẗ (Online)	2309-5199	2616-6933	2013						https://journals.uokerbala.edu.iq/index.php/Agriculture		26166933		fulltext		Ğāmiʿaẗ Karbalāʾ, kulliyyaẗ al-zirāʿaẗ	serial								F	226765962
Lutjanus (Online)	0853-7658	2721-3757	1995						https://ppnp.e-journal.id/lutjanus_PPNP		27213757		fulltext		Politeknik Pertanian Negeri Pangkajene Kepulauan	serial								F	244195625
Maġallaẗ Al-Maʿrifaẗ Al-tarbawiyyaẗ (Online)	2314-7369	2974-4350	2013						https://jeed.journals.ekb.eg		29744350		fulltext		Al-Ǧam'iyyaẗ Al-Miṣriyyaẗ Li-Āuṣūl Al-Tarbiyyaẗ	serial								F	269191984
Latin American applied research (Online)	0327-0793	1851-8796	2002						http://www.laar.uns.edu.ar/		18518796		fulltext		Consejo Nacional de Investigaciones Científicas y Técnicas	serial								F	146864085
Mağallaẗ al-muškilaẗ al-iqtiṣādiyaẗ wa al-tanmiyaẗ (En ligne)	2800-1079	2830-8301	2022						https://www.asjp.cerist.dz/en/PresentationRevue/823		28308301		fulltext		Al-markaz al-ğāmiՙī murslī ՙabd allah Tībāzaẗ	serial								F	263955605
Journal of sport science & innovation (Online)		3108-6012	2025						https://jossijournal.com		31086012		fulltext		Kenan Erdağı	serial								F	295631074
Konuralp tıp dergisi		1309-3878	2009						https://dergipark.org.tr/en/pub/ktd		13093878		fulltext		Düzce Üniversitesi	serial								F	182162036
Mémoire des princes angevins (En ligne)	1775-2515	2547-4588	2017						https://journals.openedition.org/mpa/		25474588		fulltext	ISSN of preceding title : 1775-2515	Association Mémoire des princes angevins	serial								F	219998000
Mağallaẗ kulliyyaẗ al-ʿulūm al-islāmiyyaẗ (Online)	2075-8626	2707-8841	2012						http://jcois.uobaghdad.edu.iq/		27078841		fulltext		Ğāmiʿaẗ Baġdād, Kulliyyaẗ al-ʿulūm al-islāmiyyaẗ	serial								F	243185553
Muallimuna (Online)		2476-9703	2015						http://ojs.uniska-bjm.ac.id/index.php/muallimuna/index		24769703		fulltext		Fakultas Studi Islam UNISKA MAB Banjarmasin	serial								F	18995390X
Majallah-i muṭāli̒āt va taḥqīqāt-i adabī. (Online)	1735-9732	2783-1027	2020			2024			https://jls.khu.ac.ir/fa		27831027		fulltext		Dānishgāh-i Khvārazmī	serial								F	255574274
Metaheuristic Algorithms with Applications (Online)		3042-2248	2024						https://maa.reapress.com/journal		30422248		fulltext		Research Expansion Alliance	serial								F	282050019
Mendès le Grenoblois		2494-517X	2010			2015			http://mendeslegrenoblois.hypotheses.org/		2494517X		fulltext		Mendès le Grenoblois	serial								F	194780813
Menoufia Journal of Electronic Engineering Research (Online)	1687-1189	2682-3535	2019						https://mjeer.journals.ekb.eg		26823535		fulltext		Faculty of Electronic Engineer, Munoufiya University	serial								F	241908353
Metadeta hyoron		2436-4347	2021						http://techser.info/		24364347		fulltext		Metadeta Hyoron, Henshu Iinkai = Editorial Board of Metadata Reviews	serial								F	257124527
Maruf iktisat (Online)		2757-9360	2021						https://dergipark.org.tr/tr/pub/marufiktisat		27579360		fulltext		Maruf Eğitim Araştırma ve Dayanışma Vakfı	serial								F	282047751
Muhammadiyah law review (Online)	2549-113X	2580-166X	2017						http://ojs.ummetro.ac.id/index.php/law		2580166X		fulltext		Fakultas Hukum Universitas Muhammadiyah Metro	serial								F	201825465
Muhandisī-i ̒umrān va fanāvarīhā-yi nuvīn		3060-6160	2023						https://cte.ihu.ac.ir/		30606160		fulltext		Dānishgāh-i jāmi̒-i Imām Ḥusiyn	serial								F	280273460
Makara journal of technology (online)	2355-2786	2356-4539	2014						http://journal.ui.ac.id/technology		23564539		fulltext		Direktorat Riset dan Pengabdian Masyarakat, Universitas Indonesia	serial								F	180785087
Mujeres con ciencia		2529-900X	2014						http://mujeresconciencia.com/		2529900X		fulltext		Cátedra de Cultura Científica, Universidad del País Vasco	serial								F	194822648
MLS Communication journal		2792-9280	2021						https://www.mlsjournals.com/MLS-Communication-Journal		27929280		fulltext		MLS Journals	serial								F	261664751
Metsätieteen aikakauskirja (Verkkoaineisto)	1455-2515	2489-3188	1997						https://urn.fi/URN:ISSN:1455-2515		24893188		fulltext		Suomen Metsätieteellinen Seura	serial								F	200856251
Musikolastika (online)		2657-0599	2019						http://musikolastika.ppj.unp.ac.id/index.php/musikolastika		26570599		fulltext		Prodi Pendidikan Musik, Jurusan Sendratasik FBS Universitas Negeri Padang	serial								F	241016274
Modernos & Contemporâneos		2595-1211	2017						https://www.ifch.unicamp.br/ojs/index.php/modernoscontemporaneos/index		25951211		fulltext		Universidade Estadual de Campinas (Unicamp), Instituto de Filosofia e Ciências Humanas	serial								F	226763935
KAPU Trakya mimarlık ve tasarım dergisi (Online)		2822-2423	2022						https://kapu.trakya.edu.tr/		28222423		fulltext		Trakya Üniversitesi	serial								F	263431428
Master Études asiatiques		2725-4712	2019						https://asianstudies.hypotheses.org/		27254712		fulltext	ISSN of preceding title : 2606-6696	Master Études asiatiques	serial								F	24430937X
Matematika i informatika (Niš. Online)		2334-9557	2013						http://www.pmf.ni.ac.rs/pmf/publikacije/mii/pocetna.php		23349557		fulltext	ISSN of preceding title : 2334-9549	Prirodno-matematički fakultet	serial								F	17686816X
Mathematical problems of computer science (Online)	2579-2784	2738-2788	2013						http://mpcs.sci.am		27382788		fulltext		Institute for Informatics and Automation Problems of the NAS RA	serial								F	263425827
K̦araġandy universitetìnìn̦ habaršysy. Tarih, filosofiâ seriâsy (Online)	2518-7236	2663-5100	2012						http://history-philosophy-vestnik.ksu.kz/		26635100		fulltext	ISSN of preceding title : 0142-0844	Akademik E.A. Bôketov atyndaġy K̦araġandy universitetì	serial								F	240172760
Middle east journal of pure and applied sciences (MEJPAS) (Online)		3062-343X	2025						https://mideastjournals.com/index.php/mejpas		3062343X		fulltext		İksad Global Yayıncılık	serial								F	286181509
Mie seikatsu kagaku kenkyu		2436-9365	2022						https://mietan.repo.nii.ac.jp/search?page=1&size=20&sort=controlnumber&search_type=2&q=102		24369365		fulltext		Mie Tanki Daigaku Seikatsu Kagaku Kenkyukai = The Society of the Study for Life and Environmental Science at Tsu City College	serial								F	263948153
Manajer Pendidikan (Online)	1979-732X	2623-0208	2008						https://ejournal.unib.ac.id/index.php/manajerpendidikan		26230208		fulltext		Prodi Magister Administrasi/Manajemen Pendidikan Pascasarjana FKIP Universitas Bengkulu	serial								F	231017073
Jurnal Pembelajaran Fisika (Jember.Online)	2301-9794	2721-1959	2020						https://jurnal.unej.ac.id/index.php/JPF/issue/archive		27211959		fulltext		Program Studi Pendidikan Fisika	serial								F	243403917
Medicinal, Psychological, and Health Research Journal		3092-7560	2025						https://www.mphrj.com/		30927560		fulltext		Dr. Amir Samimi	serial								F	286188295
Mathematica Montisnigri (Online)	0354-2238	2704-4963	2012						http://www.montis.pmf.ac.me/index.html		27044963		fulltext		Keldysh Institute of Applied Mathematics of the Russian Academy of Sciences (Founder)	serial								F	241025613
Dialektika (Online, Kab. Brebes, Universitas Peradaban)	2089-3876	2797-5258	2017						https://journal.peradaban.ac.id/index.php/jdpgsd		27975258		fulltext		Prodi Pendidikan Sekolah Dasar, Universitas Peradaban	serial								F	256553319
Diyanet ilmi dergi (Online)	1300-8498	2822-2261	2022						https://dergipark.org.tr/tr/pub/did		28222261		fulltext		Diyanet İşleri Başkanlığı Dini Yayınlar Genel Müdürlüğü	serial								F	263431347
Congreso Nacional de Entomología Memoria de Resúmenes (Estado de México)		3122-3850	2018						https://www.acaentmex.org/resumenes.html		31223850		fulltext		Academia Entomológica de Mexico, A.C.	serial								F	295632550
Desde la Patagonia (En línea)	1668-8848	2618-5385	2004						http://desdelapatagonia.uncoma.edu.ar/		26185385		fulltext		Secretaria de Ciencia y Técnica, Centro Regional Universitario Bariloche, Universidad Nacional del Comahue	serial								F	242995675
Danmarks Geologiske Undersøgelse. Serie A (Online)	1395-3842	2597-2979	1976			1995			https://geusjournals.org/index.php/seriea		25972979		fulltext		Geological Survey of Denmark	serial								F	256263086
Encartes		2594-2999	2018						https://encartesantropologicos.mx/		25942999		fulltext		Centro de Investigaciones y Estudios Superiores en Antropología Social	serial								F	235964670
Batobo		2987-5129	2023						https://batobo.ejournal.unri.ac.id		29875129		fulltext		Jurusan Teknik Elektro, Fakultas Teknik, Universitas Riau	serial								F	271649844
Doğuş üniversitesi dergisi (Online)	1302-6739	1308-6979	2000						https://dergipark.org.tr/tr/pub/doujournal		13086979		fulltext		Doğuş üni̇versi̇tesi̇	serial								F	225447649
Beauty and beauty health education (Online)	2252-7087	2540-8046	2012						http://journal.unnes.ac.id/sju/index.php/bbhe		25408046		fulltext		Jurusan Teknologi Jasa dan Produksi Universitas Negeri Semarang (UNNES)	serial								F	195690354
Données et sciences humaines		2729-3254	2019						https://humanodon.hypotheses.org/		27293254		fulltext		Données et sciences humaines	serial								F	24920522X
Dermatology practical & conceptual		2160-9381	2011						https://dpcj.org/index.php/dpc		21609381		fulltext		Mattioli1885	serial								F	163732809
Diplomatie et paix		2494-7660	2013						http://diplomatie.hypotheses.org/		24947660		fulltext		Diplomatie et paix	serial								F	194867188
Edukatif (Jurnal Ilmu Pendidikan - Online)	2656-8063	2656-8071	2019						https://edukatif.org/index.php/edukatif		26568071		fulltext		Universitas Pahlawan Tuanku Tambusai	serial								F	24061321X
Dissertatio Administración		2683-9261	2018						https://www.cpcesfe2.org.ar/index.php/revista-dissertatio/		26839261		fulltext		Consejo Profesional de Ciencias Económicas de Santa Fe Cámara II-Rosario, Colegio de Graduados en Ciencias Económicas de Rosario	serial								F	252597958
Dotoku to kyoiku (Online)	0288-7797	2435-1199	2015						https://www.jstage.jst.go.jp/browse/doutokutokyouiku/list/-char/ja		24351199		fulltext		Nihon Dotoku Kyoiku Gakkai	serial								F	244846359
Egyptian Journal of Pure and Applied Science (Online)	2090-231X	2786-0299	2021						https://ejpasa.journals.ekb.eg		27860299		fulltext		Faculty of Science, Ain Shams University	serial								F	256551510
Berkala ilmiah pendidikan fisika (Online)	2337-604X	2549-2764	2013						http://ppjp.unlam.ac.id/journal/index.php/bipf/index		25492764		fulltext		Prodi Pendidikan Fisika FKIP Universitas Lambung Mangkurat	serial								F	19931912X
Electronic Sumy State University institutional repository		2310-8312							http://essuir.sumdu.edu.ua/oai/request		23108312		fulltext		Sumsʹkij deržavnij unìversitet	serial								F	175152306
Èlektronnyj arhiv biblioteki MGU imeni A.A. Kulešova		2310-7359							https://libr.msu.by/		23107359		fulltext		Biblioteka MGU imeni A.A. Kulešova	serial								F	17515144X
Engineering, Mathematics and Computer Science Journal (EMACS) (Online)		2686-2573	2019						https://journal.binus.ac.id/index.php/EMACS		26862573		fulltext		Bina Nusantara University	serial								F	241022916
Dirāsāt al-ǧāmiʻaẗ al-islāmiyyaẗ al-ʻālamiyyaẗ šītāġūnġ (online)	1813-7733	2408-8544	2003						https://dirasat.iiuc.ac.bd/		24088544		fulltext		Al-ǧāmiʻaẗ al-islāmiyyaẗ al-ʻālamiyyaẗ šītāġūnġ	serial								F	182182061
Eğitim ve toplum bilimleri dergisi (Online)		3023-7572	2023						https://egitimtoplum.com.tr		30237572		fulltext		Faruk Güven	serial								F	280271735
Dékau Perú		2961-2993	2023						https://revista.unibagua.edu.pe/index.php/dekape		29612993		fulltext		Vicepresidencia de Investigación, Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua	serial								F	274992299
Educational Metamorphosis		2583-4754	2022						https://phnmcollege.ac.in/research-publication/		25834754		fulltext		Prof. H. N. Mishra College of Education	serial								F	27155911X
Dermatology research and practice (Online)	1687-6105	1687-6113	2009						https://onlinelibrary.wiley.com/journal/3029		16876113		fulltext		Wiley	serial								F	175113920
ELOPE (Ljubljana, Spletna izd.)	1581-8918	2386-0316	2011						https://journals.uni-lj.si/elope/index		23860316		fulltext		Založba Univerze v Ljubljani	serial								F	187655626
Egyptian Journal of Desert Research (Online)		2356-9875	2016						http://ejdr.journals.ekb.eg		23569875		fulltext		Desert Research Center, El-matariya	serial								F	193795213
Digital engineering (Amsterdam)		2950-550X	2024						https://www.sciencedirect.com/journal/digital-engineering		2950550X		fulltext		Elsevier B.V.	serial								F	279706588
Dirasat (STAI Indonesia, Online)	1907-8099	2715-288X	2019						https://dirasat.id/JSIP		2715288X		fulltext		Sekolah Tinggi Agama Islam Indonesia Jakarta	serial								F	242387926
Gujarat Journal of Extension Education (Online)	2322-0678	3048-9946	2022						https://www.gjoee.org/volumes.php		30489946		fulltext		Anand: Society of Extension Education	serial								F	28425911X
Heart views (Online)	1995-705X	0976-5123	2000						http://www.heartviews.org		09765123		fulltext		Medknow Publications & Media Pvt. Ltd.	serial								F	146046048
Geographia Polonica (Online)	0016-7282	2300-7362	1973						http://www.geographiapolonica.pl		23007362		fulltext		Polish Academy of Science. Institute of Geography and Spatial Organization	serial								F	178582808
Időjárás (Online)	0324-6329	2677-187X	2004						https://www.met.hu/ismeret-tar/kiadvanyok/idojaras/		2677187X		fulltext		OMSZ	serial								F	244849048
HypnoScènes		2607-0162	2017						https://hypnoscene.hypotheses.org/		26070162		fulltext		HypnoScènes	serial								F	225507021
Gramma (Greece)	1106-1170	2529-1793	2017						http://ejournals.lib.auth.gr/gramma/		25291793		fulltext		Aristoteleio Panepistīmio Thessalonikīs - Tmīma Agglikīs Glōssas kai Filologias	serial								F	200455036
Geoìnženerìâ (Online)	2707-2096	2708-2776	2020						http://geo.kpi.ua/		27082776		fulltext		Geoìnženerìâ	serial								F	244851468
Germanoslavica (Praha. On-line)	1210-9029	3029-8857	2000						https://asjournals.lib.cas.cz/Germanoslavica/home		30298857		fulltext		Slovanský ústav AV ČR, v.v.i.	serial								F	292864620
Holopraxis		2588-0942	2017						http://revistaholopraxis.com/index.php/ojs		25880942		fulltext		Unviersidad Regional Autónoma de Los Andes-Extensión Ibarra	serial								F	204161592
IKR Journal of Multidisciplinary Studies (IKRJMS)		3107-3999	2025						https://ikrpublishers.com/ikrjms/		31073999		fulltext		IKR Publishers	serial								F	
Iktisyaf (Online)	2809-0527	2774-5511	2020						http://jurnal.stidsirnarasa.ac.id/index.php/iktisyaf		27745511		fulltext		STID Sirnarasa Ciamis	serial								F	253709199
IJC metabolic & endocrine		2214-7624	2013						http://www.sciencedirect.com/science/journal/22147624/		22147624		fulltext		Elsevier	serial								F	175789150
Global journal of agricultural innovation, research & development		2409-9813	2014						http://www.avantipublishers.com/global-journal-of-agricultural-innovation-research-development/		24099813		fulltext		Avanti Publishers	serial								F	183252837
HRU International journal of dentistry and oral research : (Online)		2792-0224	2021						https://ijdor.harran.edu.tr/tr/		27920224		fulltext		HARRAN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ	serial								F	261664336
Global journal of management strategies (Online)	3117-6984	3117-6976	2025						https://worldacademiajournals.com/journal/index.php/GJMS/index		31176976		fulltext		Sergey Garchenko	serial								F	292552114
Global & regional health technology assessment (Online)	2284-2403	2283-5733	2014						https://journals.aboutscience.eu/index.php/grhta/issue/archive		22835733		fulltext		Aboutscience	serial								F	183040805
Hypertension in pregnancy (Online)	1064-1955	1525-6065	1993						https://www.tandfonline.com/journals/ihip20		15256065		fulltext		Taylor & Francis	serial								F	058352090
ḥawliyāt al-tārīẖ wa al-ğuġrāfiyā (En ligne. Al-ğazā'ir)	1112-9573	2602-6325	2018						https://www.asjp.cerist.dz/en/PresentationRevue/242		26026325		fulltext		Al-madrasaẗ al-ՙulyā li-l-asātiḏaẗ fi-al-ādāb wa al-ՙulūm al-insaniyaẗ Būzarīՙaẗ	serial								F	257126155
Encyclopedia of nutritional psychology		3065-4513	2024						https://www.nutritional-psychology.org/encyclopedia/psychonutrition/n		30654513		fulltext		The Center for Nutritional Psychology	serial								F	281559007
Imaging (Budapest)		2732-0960	2020						https://akjournals.com/view/journals/1647/1647-overview.xml		27320960		fulltext	ISSN of preceding title : 2061-5094	Akadémiai Kiadó	serial								F	248722271
Gülhane tıp dergisi (Online)		2146-8052	1956						https://gulhanemedj.org/		21468052		fulltext		Gülhane Eğitim Araştırma Hastenesi	serial								F	231390971
Haydarpaşa Numune medical journal (Online)		2687-346X	2019						http://hnhtipdergisi.com/		2687346X		fulltext		HAYDARPAŞA NUMUNE EĞİTİM VE ARAŞTIRMA HASTANESİ	serial								F	241910684
Global journal al-thaqafah (Online)	2232-0474	2232-0482	2011						http://www.gjat.my/		22320482		fulltext		Pusat Kembangan Kolej Islam Darul Ridzuan	serial								F	161091156
Forum Pedagogiczne (Online)	2083-6325	2449-7142	2013						http://www.forumpedagogiczne.uksw.edu.pl		24497142		fulltext		Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie	serial								F	192259954
Géographie et cultures	1165-0354	2267-6759	1992						http://journals.openedition.org/gc		22676759		fulltext		Revue Géographie et cultures	serial								F	169877310
Giornale di storia		2036-4938	2009						http://www.giornaledistoria.net		20364938		fulltext		Giornale di Filosofia	serial								F	133949974
Hasanuddin Journal of Sociology (Online)		2685-4333	2019						http://journal.unhas.ac.id/index.php/HJS/index		26854333		fulltext		Departemen Sosiologi, Fakultas Ilmu Sosial dan Ilmu Politik, Universitas Hasanuddin	serial								F	241499097
IET circuits, devices & systems (Online)	1751-858X	1751-8598	2007						https://ietresearch.onlinelibrary.wiley.com/journal/17518598		17518598		fulltext	ISSN of preceding title : 1359-7000	John Wiley & Sons [on behalf of the Institution of Engineering and Technology]	serial								F	116269146
Journal de comunicación social (En línea)	2412-5733	2413-970X	2013						http://www.kas.de/bolivien/es/publications/		2413970X		fulltext		Konrad Adenauer Stiftung	serial								F	189598298
International journal of mathematics for industry (Online)	2661-3352	2661-3344	2019						https://www.worldscientific.com/worldscinet/ijmi		26613344		fulltext	ISSN of preceding title : 2198-4115	World Scientific Publishing	serial								F	238221806
International journal of research in industrial engineering (Tehran. Online)	2783-1337	2717-2937	2020						http://www.riejournal.com		27172937		fulltext		Ayandegan Institute of Higher Education	serial								F	252286871
IusGénero América Latina		2835-687X	2022						https://www.revistaiusgenero.com		2835687X		fulltext		Red Latinoamericana de Académicas/os del Derecho (Red ALAS) y la Facultad de Derecho de la Universidad Interamericana de Puerto Rico	serial								F	267735952
international journal of materials and engineering technology (Online) (The )		2667-4033	2018						http://dergipark.gov.tr/tijmet		26674033		fulltext		Necip Fazıl YILMAZ	serial								F	233843213
International Journal of Medical Pharmaceutical and Health Sciences (IJMPHS)		3048-6149	2024						https://www.ijmphs.com/		30486149		fulltext		International Journal of Medical Pharmaceutical and Health Sciences (IJMPHS)	serial								F	295616652
Investigaciones en construcción (En línea)	1900-5067	2256-232X	2012						http://derecho.bogota.unal.edu.co/publicaciones/menu-de-publicaciones/revistas/serie-de-investigaciones-en-construccion-resultados-semilleros-de-investigacion/		2256232X		fulltext		Universidad Nacional de Colombia	serial								F	248712667
International journal of medical science and public health (Online)	2320-4664	2277-338X	2012						https://www.bibliomed.org/?jtt=2320-4664		2277338X		fulltext		Eldaghayes Publisher	serial								F	158413083
International journal of mechatronics and automobile engineering (Online)	2454-1435	2454-1443	2015						http://www.ijrmmae.in		24541443		fulltext		IJRMMAE	serial								F	188568514
International Journal of Smart Energy Technology and Environmental Engineering		2980-9851	2023						http://globalpublisher.org/journals-1007/		29809851		fulltext		Alireza Saraei	serial								F	27196040X
International research journal of business and management		2322-083X	2013						http://irjbm.org/?page_id=14		2322083X		fulltext		Global Wisdom Research Publcations	serial								F	175153779
išՙāՙ (En lignee) (Al-)	2392-5086	2600-6146	2017						https://asjp.cerist.dz/en/PresentationRevue/140		26006146		fulltext		ğāmiՙaẗ al-duktūr ṭāhar Sՙīdaẗ	serial								F	292906838
International journal of nanomedicine (Online)	1176-9114	1178-2013	2006						http://www.dovepress.com/articles.php?issue_id=76		11782013		fulltext	ISSN of preceding title : 1176-9114	Dovepress	serial								F	134315278
International journal of multidisciplinary research and applied studies		2457-0869	2017						http://pcworldpublication.com/journals/ijmras-journal		24570869		fulltext		PC World Publications	serial								F	224657119
Journal of accounting research, organization and economics		2621-1041	2018						https://jurnal.usk.ac.id/JAROE/index		26211041		fulltext		Prodi Akuntansi, Fakultas Ekonomi dan Bisnis, Universitas Syiah Kuala	serial								F	229297242
journal of antibiotics. Series A (Online) (The )	0368-1173	2435-5135	1956			1965			https://www.jstage.jst.go.jp/browse/antibioticsa/list/-char/en		24355135		fulltext		Japan Antibiotics Research Association = Nihon kansensho iyakuhin kyokai	serial								F	263947807
International journal of cancer management (Online)	2538-4422	2538-497X	2017						http://ijcancerprevention.com/en/index.html		2538497X		fulltext	ISSN of preceding title : 2008-2401	Kowsar Medical	serial								F	20011798X
Investigación y Educación en Enfermería (En línea)	0120-5307	2216-0280	2010						https://revistas.udea.edu.co/index.php/iee		22160280		fulltext		Universidad de Antioquia	serial								F	151972524
Iuris dictio (Quito. En línea)	1390-6402	2528-7834	2016						https://revistas.usfq.edu.ec/index.php/iurisdictio		25287834		fulltext		Universidad San Francisco de Quito USFQ	serial								F	202728803
International Journal of Teacher Education Research Studies		3049-1614	2024						https://www.eduresearchjournal.com/index.php/ijters		30491614		fulltext		Eduschool Academic Research and Publishers	serial								F	29705094X
Journal of agriculture & rural development (online)	1810-1860	2408-8579	2003			2009			http://www.banglajol.info/index.php/JARD		24088579		fulltext		School of Agriculture and Rural Development, Bangladesh Open University	serial								F	182182096
International journal of mathematics and its applications		2347-1557	2013			2014			http://ijmaa.weebly.com/archive.html		23471557		fulltext		International journal of mathematics and its applications	serial								F	174865430
International journal of political science & urban studies		2630-6263	2018			2020			http://dergipark.gov.tr/marusbd		26306263		fulltext		Marmara Üniversitesi	serial								F	229298893
Jāmi̒ah'shināsī-i irtibāṭāt		2980-8626	2020						https://jsc.daneshpajoohan.ac.ir/fa/		29808626		fulltext		Muassisah-i āmūzish-i ̒ālī-i dānish'pizhūhān-i pīshru	serial								F	268716757
Jian zhu gong cheng jin zhan		2752-8030	2021						http://ace.oajrc.org/		27528030		fulltext		Kai fang huo qu qi kan yan jiu zhong xin = Open Access Journal Research Center	serial								F	257222472
Journal of Agrometeorology (Online)	0972-1665	2583-2980	1999						https://journal.agrimetassociation.org/		25832980		fulltext		Association of Agrometeorologists	serial								F	269073086
Iraqi journal of hematology (Online)	2072-8069	2543-2702							http://www.ijhonline.org/		25432702		fulltext		Wolters Kluwer - Medknow	serial								F	201459809
Jurnal akuntansi dan investasi (Online)	1411-6227	2477-488X	2015						http://journal.umy.ac.id/index.php/ai/index		2477488X		fulltext		Prodi Akuntansi UMY dan APSA PTM	serial								F	191034231
Journal of scientific reports-B : (Online)		2717-8625	2020						https://dergipark.org.tr/en/pub/jsrb		27178625		fulltext		Kütahya Dumlupınar Üniversitesi	serial								F	279753063
Joho kyoiku		2434-3463	2019						https://www.jstage.jst.go.jp/browse/rrie/list/-char/ja		24343463		fulltext		Nihon joho kyoiku gakkai = Japan Association for Informatics Education	serial								F	276435435
International journal of studies in education and science		2767-9799	2020						https://www.ijses.net/index.php/ijses/index		27679799		fulltext		Ismail Sahin]	serial								F	255569246
Journal of the Belgian Society of Radiology		2514-8281	2015						http://www.jbsr.be/		25148281		fulltext	ISSN of preceding title : 2507-0762	Ubiquity Press	serial								F	200788884
Journal of Physical Education for Secondary Schools (Online)	2776-3307	2776-4648	2021						https://ejournal.upi.edu/index.php/JPESS		27764648		fulltext		Universitas Pendidikan Indonesia	serial								F	25557195X
Journal of science and sustainable development (Ambo. Online)	2304-2702	2414-4479	2013						https://aujssd.ethernet.edu.et/index.php/jssd/		24144479		fulltext		Ambo University	serial								F	191086290
Jurnal Ekonomi Syariah Darussalam (online)		2745-8407	2020						http://ejournal.iaida.ac.id/index.php/darussalam		27458407		fulltext		Prodi Ekonomi Syariah Institut Agama Islam Darussalam Blokagung Banyuwangi	serial								F	252603168
Journal of pharmaceutical and biotech industry (Basel)		2813-9380	2024						http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-5524943		28139380		fulltext		MDPI AG	serial								F	283996285
Jurnal Akuntansi Multiparadigma (online)	2086-7603	2089-5879	2012						http://jamal.ub.ac.id/index.php/jamal/index		20895879		fulltext		Jurusan Akuntansi Fakultas Ekonomi Universitas Brawijaya	serial								F	182678547
Journal of metallic material research		2630-5135	2018						https://ojs.bilpublishing.com/index.php/jmmr		26305135		fulltext		Bilingual Publishing Co.	serial								F	238218244
Jurnal Ecosolum (Online)	2252-7923	2654-430X	2012						http://journal.unhas.ac.id/index.php/ecosolum		2654430X		fulltext		Universitas Hasanuddin	serial								F	232592667
Jurnal Ilmiah Kesehatan (Maros, Online)	2337-9847	2686-2883	2019						https://salnesia.id/index.php/jika		26862883		fulltext		Sarana Ilmu Indonesia	serial								F	241023084
Journal of physical chemistry and functional materials (Online)		2651-3080	2018						https://dergipark.org.tr/en/pub/jphcfum		26513080		fulltext		Niyazi Bulut	serial								F	230859208
